Brand_Name,Deal_Week,deal_id,store_id,Week,total_inventory,Elasticity,new_discount,Actual discount,Inventory,Actual Remaining Inventory,week_gross,Weekly gross actual,week_gross_td,week_nett,week_nett_td,Period,deal_recovery,date1,Inventory remaining difference,discount difference,recovery actual
Forever 21,4,934,37601,Week9,4088217.28,0.0305566,51.18462527,0.4809,-0.000189891,135447.75,417040.3617,3952769.53,4088217.28,203579.8153,2876036.005,Future_Plan,0.703493921,2025-01-15,-135447.7502,3.094625269,0.501895264
Forever 21,5,934,37601,Week1,4088217.28,,20.88,0.2088,3834847.72,3834847.72,253369.56,253369.56,253369.56,200465.9959,200465.9959,History,0.686051642,2024-11-20,0,0,0.501895264
Forever 21,5,934,37601,Week2,4088217.28,,22.78,0.2278,3477213.43,3477213.43,357634.29,611003.85,611003.85,276165.1987,476631.1946,History,0.686051642,2024-11-27,0,0,0.501895264
Forever 21,5,934,37601,Week3,4088217.28,,27.02,0.2702,3040710.82,3040710.82,436502.61,1047506.46,1047506.46,318559.6048,795190.7994,History,0.686051642,2024-12-04,0,0,0.501895264
Forever 21,5,934,37601,Week4,4088217.28,,31.43,0.3143,2598073.31,2598073.31,442637.51,1490143.97,1490143.97,303516.5406,1098707.34,History,0.686051642,2024-12-11,0,0,0.501895264
Forever 21,5,934,37601,Week5,4088217.28,0.027715794,28.28957433,0.3538,1858683.917,1984604.49,739389.3933,2103612.79,2229533.363,530219.2813,1628926.621,Future_Plan,0.686051642,2024-12-18,-125920.5733,-7.090425667,0.501895264
Forever 21,5,934,37601,Week6,4088217.28,0.027715794,29.44646649,0.4038,1270121.223,1216383.89,588562.6937,2871833.39,2818096.057,415251.7773,2044178.399,Future_Plan,0.686051642,2024-12-25,53737.33303,-10.93353351,0.501895264
Forever 21,5,934,37601,Week7,4088217.28,0.027715794,31.13481568,0.434,808496.236,690312.17,461624.987,3397905.11,3279721.044,317898.8982,2362077.297,Future_Plan,0.686051642,2025-01-01,118184.066,-12.26518432,0.501895264
Forever 21,5,934,37601,Week8,4088217.28,0.027715794,33.59706979,0.4652,459474.17,293947.02,349022.066,3794270.26,3628743.11,231760.8789,2593838.176,Future_Plan,0.686051642,2025-01-08,165527.15,-12.92293021,0.501895264
Forever 21,5,934,37601,Week9,4088217.28,0.027715794,54.10188125,0.4809,0,135447.75,459474.17,3952769.53,4088217.28,210890.0001,2804728.176,Future_Plan,0.686051642,2025-01-15,-135447.75,6.011881255,0.501895264
Forever 21,6,934,37601,Week1,4088217.28,,20.88,0.2088,3834847.72,3834847.72,253369.56,253369.56,253369.56,200465.9959,200465.9959,History,0.676891687,2024-11-20,0,0,0.501895264
Forever 21,6,934,37601,Week2,4088217.28,,22.78,0.2278,3477213.43,3477213.43,357634.29,611003.85,611003.85,276165.1987,476631.1946,History,0.676891687,2024-11-27,0,0,0.501895264
Forever 21,6,934,37601,Week3,4088217.28,,27.02,0.2702,3040710.82,3040710.82,436502.61,1047506.46,1047506.46,318559.6048,795190.7994,History,0.676891687,2024-12-04,0,0,0.501895264
Forever 21,6,934,37601,Week4,4088217.28,,31.43,0.3143,2598073.31,2598073.31,442637.51,1490143.97,1490143.97,303516.5406,1098707.34,History,0.676891687,2024-12-11,0,0,0.501895264
